time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-10-06T11:39:48.422Z,39.3006,-118.1006,14.2,-0.1,ml,7,236.47,0.018,0.2124,nn,nn00659828,2018-10-06T20:03:39.393Z,"50km NNW of Gabbs, Nevada",earthquake,,2.6,0,1,reviewed,nn,nn
2018-10-06T11:37:00.340Z,-0.0514,126.7043,55.08,4.4,mb,,78,1.052,0.52,us,us1000h830,2018-10-06T11:49:18.040Z,"118km SW of Kota Ternate, Indonesia",earthquake,6.9,7.5,0.13,17,reviewed,us,us
2018-10-06T11:33:51.970Z,38.8393326,-122.7884979,1.12,0.89,md,10,100,0.001711,0.04,nc,nc73094496,2018-10-06T12:06:02.460Z,"6km WNW of Cobb, CA",earthquake,0.58,0.47,,3,automatic,nc,nc
2018-10-06T11:27:55.026Z,63.1551,-151.3318,9.2,1.7,ml,,,,0.94,ak,ak20272005,2018-10-06T11:34:51.981Z,"111km NNW of Talkeetna, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-10-06T11:19:12.809Z,61.4814,-150.3241,41.4,1.2,ml,,,,0.94,ak,ak20272003,2018-10-06T11:22:26.095Z,"20km WSW of Big Lake, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-10-06T11:09:51.397Z,39.662,-119.8295,4.7,0.1,ml,5,118.88,0.08,0.1095,nn,nn00659827,2018-10-06T19:54:26.051Z,"3km NNE of Lemmon Valley, Nevada",earthquake,,6.2,0.62,3,reviewed,nn,nn
2018-10-06T11:08:23.427Z,62.9333,-149.2201,79.9,1.6,ml,,,,0.6,ak,ak20271999,2018-10-06T11:13:11.830Z,"52km SSW of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-10-06T11:05:09.234Z,63.0436,-149.4451,64.6,1.7,ml,,,,0.58,ak,ak20271992,2018-10-06T11:11:25.435Z,"46km SSW of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-10-06T11:02:32.192Z,61.9738,-150.6739,23.3,1.1,ml,,,,0.41,ak,ak20271991,2018-10-06T11:07:52.158Z,"41km NW of Willow, Alaska",earthquake,,1.1,,,automatic,ak,ak
2018-10-06T10:58:54.770Z,38.814167,-122.8284988,2.68,0.56,md,7,107,0.005318,0.03,nc,nc73094471,2018-10-06T11:31:03.290Z,"8km WNW of The Geysers, CA",earthquake,0.73,2.02,,1,automatic,nc,nc
2018-10-06T10:51:51.280Z,19.2593,-64.7203,50,3.24,md,9,339,1.588,0.3,pr,pr2018279003,2018-10-06T15:02:44.404Z,"93km N of Road Town, British Virgin Islands",earthquake,4.2,17.83,0.27,3,reviewed,pr,pr
2018-10-06T10:51:06.751Z,36.8089,-116.1631,4,0.5,ml,44,32.87,0.057,0.209,nn,nn00659789,2018-10-06T15:42:16.365Z,"54km ESE of Beatty, Nevada",earthquake,,1,0.36,27,reviewed,nn,nn
2018-10-06T10:37:14.100Z,1.4652,127.0726,63.55,4.2,mb,,146,0.748,0.83,us,us1000h82r,2018-10-06T11:07:40.040Z,"82km NNW of Kota Ternate, Indonesia",earthquake,10.2,10,0.147,13,reviewed,us,us
2018-10-06T10:23:54.704Z,37.2686,-114.5332,0.5,0.7,ml,13,109.68,0.435,0.2351,nn,nn00659826,2018-10-06T19:48:16.421Z,"38km S of Caliente, Nevada",earthquake,,3.7,0.91,4,reviewed,nn,nn
2018-10-06T10:20:23.682Z,59.9568,-151.4756,51.6,2.3,ml,,,,0.61,ak,ak20271984,2018-10-06T10:25:54.517Z,"26km NNW of Fritz Creek, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-10-06T10:07:49.615Z,61.4237,-152.6293,3.7,1.4,ml,,,,0.33,ak,ak20271978,2018-10-06T10:14:10.630Z,"104km N of Redoubt Volcano, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-10-06T10:07:28.270Z,33.5175,-116.7975,3.73,0.52,ml,22,50,0.005643,0.15,ci,ci38316672,2018-10-06T10:11:12.195Z,"10km NE of Aguanga, CA",earthquake,0.28,0.54,0.105,16,automatic,ci,ci
2018-10-06T10:05:29.122Z,59.9601,-140.6718,7.2,1.5,ml,,,,0.8,ak,ak20271977,2018-10-06T10:12:23.997Z,"70km NW of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-10-06T09:37:16.410Z,-44.4538,167.8786,11.52,4.6,mb,,77,0.894,1.3,us,us1000h82b,2018-10-06T10:38:06.284Z,"89km NW of Queenstown, New Zealand",earthquake,3.8,4.7,0.117,22,reviewed,us,us
2018-10-06T09:35:25.440Z,18.1216,-67.3523,30,1.95,md,4,320,0.2686,0.21,pr,pr2018279002,2018-10-06T15:00:06.440Z,"18km WNW of Puerto Real, Puerto Rico",earthquake,1.5,1.59,0.15,3,reviewed,pr,pr
2018-10-06T09:30:16.100Z,39.7989998,-122.0979996,25.96,2.43,md,16,73,0.2753,0.15,nc,nc73094381,2018-10-06T10:16:03.812Z,"10km NW of Hamilton City, CA",earthquake,0.45,1.59,0.09,10,automatic,nc,nc
